epsilon,N,acx_time_sec,original_ipt_time_sec,speedup_original_over_acx,acx_iterations,original_ipt_iterations,acx_f_calls,original_ipt_f_calls,acx_fixed_point_residual,original_ipt_fixed_point_residual,acx_abs_residual,original_ipt_abs_residual,acx_status,original_ipt_status
0.059999999999999998,4096,0.20944256335496902,0.15111622195690871,0.72151629323211053,5,17,11,17,2.3194414379644918e-13,4.5204844385266318e-13,8.0624594480806115e-11,3.9753154055406099e-10,ok,ok
0.059999999999999998,8192,1.4398093937896193,1.2014529311098159,0.83445276596477647,5,18,11,18,8.4372870175492096e-13,2.8422027803240124e-13,8.6246044066448797e-10,5.414321565560126e-10,ok,ok
0.059999999999999998,16384,11.400405179988592,9.5689345195889466,0.83935038873754497,6,18,13,18,4.3658833843488029e-14,7.040365934068557e-13,2.1119591542220759e-11,2.866678282153724e-09,ok,ok
0.080000000000000002,4096,0.24368718257173896,0.18667565518990159,0.76604626152196664,6,21,13,21,1.128202793227982e-13,8.3889752146595724e-13,1.3864172813015346e-11,9.7120446696231649e-10,ok,ok
0.080000000000000002,8192,1.7008562267757952,1.526507290545851,0.8974934309642113,6,23,13,23,4.1138118653351396e-13,4.6106593770417402e-13,7.4278787054328905e-11,1.1456549871782791e-09,ok,ok
0.080000000000000002,16384,11.406839790102094,12.588015223108233,1.1035497521435398,6,24,13,24,4.865033985445597e-13,5.1729920109553809e-13,2.0004410959044328e-10,2.8328864239773982e-09,ok,ok
0.10000000000000001,4096,0.29663916388526557,0.23678410295397043,0.79822266167644018,7,27,16,27,1.2757164133580098e-13,6.5367114840656412e-13,1.0943919466018705e-10,9.3785727282879158e-10,ok,ok
0.10000000000000001,8192,2.0764059800654651,1.9075839745812118,0.91869508800059863,7,29,16,29,4.4143489700362202e-14,6.19714054598853e-13,3.5772202725193735e-11,2.0023785938187045e-09,ok,ok
0.10000000000000001,16384,13.925956192426383,16.625539902783931,1.1938526642662939,7,32,16,32,9.3277786484588194e-14,5.6534425729645893e-13,4.4401414238353721e-10,3.7701580458837507e-09,ok,ok
0.12,4096,0.33254990810528395,0.29493642803281545,0.88689372886381845,8,34,18,34,2.3534556540674292e-14,9.0227510002579282e-13,6.4533751428392583e-12,1.6151765228374911e-09,ok,ok
0.12,8192,2.3282395501621069,2.6033063481561838,1.1181436841303227,8,40,18,40,2.5449718276872023e-13,7.3744141550040627e-13,1.054568072246935e-10,2.6173167676552586e-09,ok,ok
0.12,16384,18.133620564267041,21.684247499424963,1.1958035309371458,9,42,21,42,9.3006763737642951e-14,8.5199219333024627e-13,6.2613420973980861e-10,7.1161471384712806e-09,ok,ok
