N,epsilon,time_syevd_sec,time_ipt_sec,residual_syevd,residual_ipt,ipt_fixed_point_residual,ipt_iterations,gpu_name,status,error
32,0.01,0.00032270033843815325,0.00087525220587849619,9.0169858814099465e-14,2.9925681193454341e-14,5.7227122671789302e-14,7,NVIDIA A100-SXM4-80GB,ok,
64,0.01,0.0011496587190777063,0.00088743027299642563,2.8696955260217922e-13,1.9849194095996072e-13,1.6181499227397713e-13,7,NVIDIA A100-SXM4-80GB,ok,
128,0.01,0.0026628264226019383,0.00087147364392876621,9.9436237337266005e-13,4.9484580362676255e-13,1.7001708547994939e-13,7,NVIDIA A100-SXM4-80GB,ok,
256,0.01,0.004032029118388891,0.0010018449276685715,3.4304962177733243e-12,2.2886265021815504e-12,3.7448250465950209e-13,7,NVIDIA A100-SXM4-80GB,ok,
512,0.01,0.0084805617108941085,0.0015259476378560067,1.0212040596988545e-11,7.9455426263994381e-12,6.05912004578608e-13,7,NVIDIA A100-SXM4-80GB,ok,
1024,0.01,0.016076766001060606,0.0030552608892321586,3.4468806177708459e-11,2.1939384773052579e-11,7.7068331403131175e-13,7,NVIDIA A100-SXM4-80GB,ok,
2048,0.01,0.044562335684895517,0.017835339158773424,1.1387738230000294e-10,2.2900670174191955e-12,3.7015523904481106e-14,8,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,0.21467250334098936,0.077076018275693062,4.030676279973345e-10,6.6285318933848029e-12,5.1066880767593383e-14,8,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,1.4480141817126424,0.56503970613703136,1.5276216379040918e-09,1.758886018181272e-11,6.5213573181514535e-14,8,NVIDIA A100-SXM4-80GB,ok,
16384,0.01,8.886806620284915,4.4512141330633312,5.7534512230976821e-09,4.7611928469720287e-11,8.3375732832424321e-14,8,NVIDIA A100-SXM4-80GB,ok,
32768,0.01,6.5116677433252335e-05,36.126190673559904,nan,1.1665736739565183e-10,9.9330191618803195e-14,8,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
