epsilon,N,rayleigh_total_sec,cusolver_sec,cusolver_source,speedup_cusolver_over_rayleigh,rayleigh_slower_than_cusolver,original_fp64_ipt_sec,tf32_mixed_ipt_sec,speedup_original_over_rayleigh,speedup_tf32_over_rayleigh,rayleigh_tf32_iterations,rayleigh_fp64_iterations,tf32_mixed_initial_iterations,tf32_mixed_fp64_iterations,original_fp64_iterations,rayleigh_fp64_fixed_point_residual,rayleigh_absolute_residual,tf32_mixed_fp64_fixed_point_residual,original_fp64_fixed_point_residual,status
0.09,8192,1.1552413805387913,1.4486937963869422,median_reference,1.2540182690748907,false,,,,,10,3,,,,8.627499029783092e-15,1.0686443069495567e-08,,,ok
0.09,16384,6.170826204959303,8.901861068047584,median_reference,1.442571994799243,false,,,,,10,3,,,,7.42380104000953e-15,3.292106154534707e-08,,,ok
0.09,26000,22.000184557493775,33.28798687816598,median_reference,1.5130776194705748,false,,,,,10,3,,,,7.198005357941372e-15,5.899608235453629e-08,,,ok
0.1,8192,1.1761162864975632,1.4486937963869422,median_reference,1.231760679635775,false,,,,,11,3,,,,1.1834782802536401e-14,1.1115459028806758e-08,,,ok
0.1,16384,6.320116198062896,8.901861068047584,median_reference,1.4084964246030773,false,,,,,12,3,,,,9.807260167763518e-15,3.746780706921407e-08,,,ok
0.1,26000,22.597873937617987,33.28798687816598,median_reference,1.4730583492083515,false,,,,,12,3,,,,9.902218552384675e-15,6.831710599209922e-08,,,ok
0.11,8192,1.1962643004953861,1.4486937963869422,median_reference,1.2110148198746902,false,,,,,14,3,,,,1.4879003440199968e-14,1.150226131664067e-08,,,ok
0.11,16384,6.4725081622600555,8.901861068047584,median_reference,1.3753340814543296,false,,,,,14,3,,,,1.2635966582916019e-14,4.163880910673632e-08,,,ok
0.11,26000,23.326643130090087,33.28798687816598,median_reference,1.4270371734382266,false,,,,,14,3,,,,1.2586735870842736e-14,7.695040971832249e-08,,,ok
0.12,8192,1.2232007618062197,1.4486937963869422,median_reference,1.1843467087510244,false,,,,,17,3,,,,1.7939547282565385e-14,1.1830531770790365e-08,,,ok
0.12,16384,6.760168002359569,8.901861068047584,median_reference,1.3168106273306341,false,,,,,18,3,,,,1.5225335315138022e-14,4.54819594833905e-08,,,ok
0.12,26000,24.753486388735475,33.28798687816598,median_reference,1.344779735484626,false,,,,,19,3,,,,1.50435287144275e-14,8.478997181408479e-08,,,ok
0.13,8192,9.96809686459601,1.4486937963869422,median_reference,0.14533303759640534,true,,,,,1000,3,,,,2.155321838565421e-14,1.2033984661216802e-08,,,ok
0.13,16384,77.85313987089322,8.901861068047584,median_reference,0.1143417090538657,true,,,,,1000,3,,,,1.8320071016428985e-14,4.888119357428759e-08,,,ok
0.13,26000,331.8498263041489,33.28798687816598,median_reference,0.10031039415900336,true,,,,,1000,3,,,,1.8410955465307383e-14,9.228294465615225e-08,,,ok
0.14,8192,9.961813463270664,1.4486937963869422,median_reference,0.14542470622726425,true,,,,,1000,3,,,,2.859556021651976e-14,1.2050901062775466e-08,,,ok
0.14,16384,78.0531389917247,8.901861068047584,median_reference,0.1140487260735455,true,,,,,1000,3,,,,2.4240105499331654e-14,5.1977284614923765e-08,,,ok
0.14,26000,331.94127905517814,33.28798687816598,median_reference,0.10028275776039462,true,,,,,1000,3,,,,2.4107584225361932e-14,1.0103381295420793e-07,,,ok
0.15,8192,9.966137628257275,1.4486937963869422,median_reference,0.14536160852118069,true,,,,,1000,3,,,,3.5924893492211796e-14,1.2015728778731991e-08,,,ok
0.15,16384,77.86886962782592,8.901861068047584,median_reference,0.11431861166848843,true,,,,,1000,3,,,,3.193238115204078e-14,5.48098701483902e-08,,,ok
0.15,26000,332.0294442127459,33.28798687816598,median_reference,0.10025612926315325,true,,,,,1000,3,,,,3.1947735648386105e-14,1.0993195216339236e-07,,,ok
0.16,8192,9.96561187542975,1.4486937963869422,median_reference,0.14536927732041238,true,,,,,1000,3,,,,4.8448644192907234e-14,1.1793888407275805e-08,,,ok
0.16,16384,77.86123506128789,8.901861068047584,median_reference,0.11432982100836894,true,,,,,1000,3,,,,4.081847522569804e-14,5.7168957418505185e-08,,,ok
0.16,26000,332.25048824669796,33.28798687816598,median_reference,0.10018942952899276,true,,,,,1000,3,,,,4.1222826848996544e-14,1.195525948449437e-07,,,ok
0.17,8192,9.981569240614771,1.4486937963869422,median_reference,0.14513687792619231,true,,,,,1000,3,,,,5.921927458164744e-14,1.1507075960855126e-08,,,ok
0.17,16384,78.02894300101325,8.901861068047584,median_reference,0.11408409143684016,true,,,,,1000,3,,,,5.048827457261783e-14,5.954547698846215e-08,,,ok
