sorted_index_0based,sorted_index_1based,original_index,diagonal_value,adjacent_gap_to_next
0,1,0,-40.110302463968672,0.80086958742960945
1,2,1,-39.309432876539063,4.2632564145606011e-14
2,3,2,-39.30943287653902,0.00026550808432546091
3,4,4,-39.309167368454695,4.2632564145606011e-14
4,5,3,-39.309167368454652,0.0021917144663419208
5,6,6,-39.30697565398831,1.4210854715202004e-14
6,7,5,-39.306975653988296,0.0002655080843467772
7,8,8,-39.306710145903949,2.8421709430404007e-14
8,9,7,-39.306710145903921,0.003616694705407042
9,10,9,-39.303093451198514,4.2632564145606011e-14
10,11,10,-39.303093451198471,0.0024572225507029088
11,12,11,-39.300636228647768,0
12,13,12,-39.300636228647768,0.00045641629737502853
13,14,13,-39.300179812350393,2.1316282072803006e-14
14,15,14,-39.300179812350372,0.0002655080843467772
15,16,16,-39.299914304266025,7.1054273576010019e-15
16,17,15,-39.299914304266018,0.0060739172561383725
17,18,17,-39.29384038700988,2.1316282072803006e-14
18,19,18,-39.293840387009858,0.03559898916637394
19,20,20,-39.258241397843484,0
20,21,22,-39.258241397843484,7.1054273576010019e-15
21,22,19,-39.258241397843477,7.1054273576010019e-15
22,23,21,-39.25824139784347,7.1054273576010019e-15
23,24,23,-39.258241397843463,0
24,25,24,-39.258241397843463,0.31956824876675682
25,26,28,-38.938673149076706,1.4210854715202004e-14
26,27,30,-38.938673149076692,7.1054273576010019e-15
27,28,29,-38.938673149076685,2.1316282072803006e-14
28,29,25,-38.938673149076664,0
29,30,26,-38.938673149076664,0
30,31,27,-38.938673149076664,0.088786051099027929
31,32,32,-38.849887097977636,3.5527136788005009e-14
32,33,31,-38.8498870979776,0.29496368644711879
33,34,33,-38.554923411530481,2.1316282072803006e-14
34,35,34,-38.55492341153046,0.0039463128776091594
35,36,35,-38.550977098652851,0
36,37,36,-38.550977098652851,0.0063236153241703619
37,38,38,-38.54465348332868,7.1054273576010019e-15
38,39,37,-38.544653483328673,0.0020574826101977806
39,40,39,-38.542596000718476,3.5527136788005009e-14
40,41,40,-38.54259600071844,0.0073553888281452373
41,42,41,-38.535240611890295,0
42,43,42,-38.535240611890295,0.00042436442237203664
43,44,43,-38.534816247467923,7.1054273576010019e-15
44,45,44,-38.534816247467916,0.0011972938012974055
45,46,46,-38.533618953666618,2.8421709430404007e-14
46,47,45,-38.53361895366659,0.009566606923115728
47,48,48,-38.524052346743474,7.1054273576010019e-15
48,49,47,-38.524052346743467,0.00042008985808195121
49,50,50,-38.523632256885385,7.1054273576010019e-15
50,51,49,-38.523632256885378,0.00042382012671993152
51,52,51,-38.523208436758658,4.9737991503207013e-14
52,53,52,-38.523208436758608,0.0051598855029695301
53,54,53,-38.518048551255639,0
54,55,54,-38.518048551255639,0.001142761612804577
55,56,56,-38.516905789642834,1.4210854715202004e-14
56,57,55,-38.51690578964282,0.00151612435576709
57,58,58,-38.515389665287053,7.1054273576010019e-15
58,59,57,-38.515389665287046,0.0038652048579379539
59,60,59,-38.511524460429108,2.1316282072803006e-14
60,61,60,-38.511524460429087,0.0024053087921487304
61,62,61,-38.509119151636938,1.4210854715202004e-14
62,63,62,-38.509119151636924,0.0032803587445613402
63,64,63,-38.505838792892362,2.8421709430404007e-14
64,65,64,-38.505838792892334,0.00038824971940698561
65,66,65,-38.505450543172927,0
66,67,66,-38.505450543172927,0.00026550808435388262
67,68,67,-38.505185035088573,7.1054273576010019e-15
68,69,68,-38.505185035088566,0.00045641629735371225
69,70,69,-38.504728618791212,3.5527136788005009e-14
70,71,70,-38.504728618791177,0.0013296579555799326
71,72,71,-38.503398960835597,1.4210854715202004e-14
72,73,72,-38.503398960835582,0.0011275645951300817
73,74,73,-38.502271396240452,0
74,75,74,-38.502271396240452,0.0023400564067728169
75,76,75,-38.49993133983368,1.4210854715202004e-14
76,77,76,-38.499931339833665,0.0012766382986484359
77,78,77,-38.498654701535017,0
78,79,78,-38.498654701535017,0.00026550808433967177
79,80,79,-38.498389193450677,1.4210854715202004e-14
