denom_clip,extra_steps,ortho_repeats,exit_code,status,baseline_steps,baseline_max_relative_eigen_residual,baseline_pair_28_residual,baseline_pair_29_residual,baseline_basis_cols,baseline_orthogonality_error,accepted_rounds,accepted_corrections,rejected_corrections,final_max_relative_eigen_residual,final_max_relative_eigen_residual_index,final_pair_28_residual,final_pair_29_residual,final_basis_cols,final_orthogonality_error,pair_28_linear_dependent_count,pair_29_linear_dependent_count,result_dir
3e-9,10,2,3,failed,30,7.0093328701162875e-09,5.9194824761452129e-14,7.0093328701162875e-09,50,1.6320278461989801e-14,0,0,2,7.0093328701162875e-09,29,5.9194824761452129e-14,7.0093328701162875e-09,50,1.3322676295501878e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_3e-9_extra_10_ortho_2
3e-9,10,3,3,failed,30,1.7583773709072865e-05,2.1419909832013641e-12,1.7583773709072865e-05,37,1.4432899320127035e-14,0,0,2,1.7583773709072865e-05,29,2.1419909832013641e-12,1.7583773709072865e-05,37,1.4210854715202004e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_3e-9_extra_10_ortho_3
3e-9,20,2,0,success,30,7.9880400531035191e-11,8.0252630459376745e-14,7.9880400531035191e-11,40,1.532107773982716e-14,17,17,19,9.033837819619998e-14,29,7.3943614539911087e-14,9.033837819619998e-14,37,1.3766765505351941e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_3e-9_extra_20_ortho_2
3e-9,20,3,3,failed,30,6.2428994980085877e-06,1.3826089064650693e-12,6.2428994980085877e-06,41,1.5765166949677223e-14,0,0,2,6.2428994980085877e-06,29,1.3826089064650693e-12,6.2428994980085877e-06,41,1.7763568394002505e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_3e-9_extra_20_ortho_3
3e-9,40,2,0,success,30,2.2388047765760384e-11,7.6173990353319219e-14,2.2388047765760384e-11,35,1.4876988529977098e-14,11,11,13,1.8045281425185253e-13,29,7.4789668158088431e-14,1.8045281425185253e-13,46,1.4876988529977098e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_3e-9_extra_40_ortho_2
3e-9,40,3,0,success,30,3.2651644144312202e-11,4.8815233462690278e-14,3.2651644144312202e-11,38,1.5543122344752192e-14,16,16,18,9.2038145973089731e-14,1,4.6104139288650409e-14,5.5753723744212597e-14,54,1.532107773982716e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_3e-9_extra_40_ortho_3
1e-8,10,2,0,success,30,1.7348176153050606e-11,6.936870871779864e-14,1.7348176153050606e-11,44,1.3988810110276972e-14,10,10,10,5.9676290666106356e-13,29,6.2229814698961382e-14,5.9676290666106356e-13,54,1.5099033134902129e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_1e-8_extra_10_ortho_2
1e-8,10,3,3,failed,30,3.4771472042917104e-06,2.8692908824807572e-12,3.4771472042917104e-06,41,1.4876988529977098e-14,0,0,2,3.4771472042917104e-06,29,2.8692908824807572e-12,3.4771472042917104e-06,41,1.6875389974302379e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_1e-8_extra_10_ortho_3
1e-8,20,2,3,failed,30,5.6347363495617511e-11,5.3631611907796152e-14,5.6347363495617511e-11,39,1.4876988529977098e-14,6,6,8,5.2825700299360741e-12,29,5.0518754263335388e-14,5.2825700299360741e-12,45,1.4654943925052066e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_1e-8_extra_20_ortho_2
1e-8,20,3,0,success,30,7.4309745867086624e-10,8.8208469669436617e-14,7.4309745867086624e-10,42,1.8429702208777599e-14,20,20,20,8.9723596496938299e-14,1,7.3998076568640368e-14,7.3548101542611783e-14,42,1.3988810110276972e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_1e-8_extra_20_ortho_3
1e-8,40,2,0,success,30,5.5143751635494104e-11,7.0782220734672213e-14,5.5143751635494104e-11,35,1.532107773982716e-14,13,13,15,9.4153165108982547e-14,29,6.6688318785329375e-14,9.4153165108982547e-14,48,1.5543122344752192e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_1e-8_extra_40_ortho_2
1e-8,40,3,0,success,30,2.8219710201693544e-09,1.5772191822024992e-13,2.8219710201693544e-09,35,1.354472090042691e-14,25,26,26,1.2691114679766908e-13,13,7.7189783389109509e-14,8.0676537344114255e-14,41,1.5765166949677223e-14,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/block_active_davidson_v1/denom_1e-8_extra_40_ortho_3
