steps,denom_clip,exit_code,status,basis_cols,accepted_entries,restart_count,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,max_pair_0_28_residual,orthogonality_error,result_dir
30,3e-9,3,failed,39,24,1,2.4226023889461852e-10,29,4.8177147073059637e-12,2.4226023889461852e-10,4.8177147073059637e-12,1.6653345369377348e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_30_clip_3e-9_active_2
30,1e-8,3,failed,41,8,0,7.6940807328726317e-06,29,4.0192138254477539e-11,7.6940807328726317e-06,4.0192138254477539e-11,1.4432899320127035e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_30_clip_1e-8_active_2
30,3e-8,3,failed,40,25,1,2.0324169347910425e-10,29,3.0507347797281496e-12,2.0324169347910425e-10,3.0507347797281496e-12,1.4432899320127035e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_30_clip_3e-8_active_2
40,3e-9,3,failed,38,5,0,1.1935554933392709e-05,29,8.4339113422987338e-11,1.1935554933392709e-05,8.4339113422987338e-11,1.4988010832439613e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_40_clip_3e-9_active_2
40,1e-8,3,failed,41,8,0,2.0920742576637143e-05,29,1.4606946882745267e-10,2.0920742576637143e-05,1.4606946882745267e-10,1.3322676295501878e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_40_clip_1e-8_active_2
40,3e-8,3,failed,44,29,1,3.8933977703494615e-10,29,7.7508432759884425e-12,3.8933977703494615e-10,7.7508432759884425e-12,1.5765166949677223e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_40_clip_3e-8_active_2
60,3e-9,3,failed,41,26,1,2.2450090888133696e-10,29,4.8327821669623946e-12,2.2450090888133696e-10,4.8327821669623946e-12,1.4432899320127035e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_60_clip_3e-9_active_2
60,1e-8,3,failed,41,26,1,1.9711229225644291e-10,29,7.7795134578277521e-12,1.9711229225644291e-10,7.7795134578277521e-12,1.3988810110276972e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_60_clip_1e-8_active_2
60,3e-8,3,failed,44,29,1,1.7295156774305323e-10,29,5.6253736479898598e-12,1.7295156774305323e-10,5.6253736479898598e-12,1.5099033134902129e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_60_clip_3e-8_active_2
80,3e-9,3,failed,42,27,1,1.6592342187288894e-10,29,1.4974673316878227e-11,1.6592342187288894e-10,1.4974673316878227e-11,1.9095836023552692e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_80_clip_3e-9_active_2
80,1e-8,3,failed,38,5,0,9.3573944979065101e-06,29,1.2117574597547477e-11,9.3573944979065101e-06,1.2117574597547477e-11,1.5987211554602254e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_80_clip_1e-8_active_2
80,3e-8,3,failed,40,25,1,2.5529130289749789e-10,29,1.5993292786259934e-11,2.5529130289749789e-10,1.5993292786259934e-11,1.3988810110276972e-14,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/davidson_restart_sweep_v1/steps_80_clip_3e-8_active_2
