case_tag,method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,passed_relative_threshold,result_dir,log_dir
cmp_1e8_extra40_ortho2_v2,IPT_block_active_selective_Davidson,3,failed,30,30,35,200,,1.498973e+00,ipt_log_solve_field,0.010215667499096623,29,22.482585960638755,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho2_v2/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho2_v2/ipt_block_active_davidson
cmp_1e8_extra40_ortho2_v2,PRIMME_JDQMR_ETol,0,success,30,30,,61,3813,7.326004471979104,primme_timing_csv_solve_time_sec,4.1249642735563768e-13,16,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho2_v2/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho2_v2/primme_jdqmr_etol
cmp_1e8_extra40_ortho3_v2,IPT_block_active_selective_Davidson,0,success,30,30,53,200,,5.131108e+00,ipt_log_solve_field,7.8373544517856265e-14,29,25.967835827683917,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho3_v2/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho3_v2/ipt_block_active_davidson
cmp_1e8_extra40_ortho3_v2,PRIMME_JDQMR_ETol,0,success,30,30,,60,3792,10.017404837999493,primme_timing_csv_solve_time_sec,4.9609110424552801e-13,6,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho3_v2/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra40_ortho3_v2/primme_jdqmr_etol
cmp_3e9_extra40_ortho3_v2,IPT_block_active_selective_Davidson,3,failed,30,30,45,200,,3.975323e+00,ipt_log_solve_field,4.9137456346762827e-10,29,1.0056568511354276,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_3e9_extra40_ortho3_v2/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_3e9_extra40_ortho3_v2/ipt_block_active_davidson
cmp_3e9_extra40_ortho3_v2,PRIMME_JDQMR_ETol,0,success,30,30,,59,3829,7.4267543969908729,primme_timing_csv_solve_time_sec,4.9765428248266385e-13,29,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_3e9_extra40_ortho3_v2/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_3e9_extra40_ortho3_v2/primme_jdqmr_etol
cmp_1e8_extra10_ortho2_v2,IPT_block_active_selective_Davidson,3,failed,30,30,36,200,,4.858758e+00,ipt_log_solve_field,1.40996550803623e-12,29,2.3285421879466965,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/ipt_block_active_davidson
cmp_1e8_extra10_ortho2_v2,PRIMME_JDQMR_ETol,0,success,30,30,,58,3807,9.9421641859808005,primme_timing_csv_solve_time_sec,4.5861970965099252e-13,12,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/primme_jdqmr_etol
3089778,IPT_block_active_selective_Davidson,3,failed,30,30,47,200,,4.880714e+00,ipt_log_solve_field,1.1049980129707247e-10,29,1.525125967950655,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/3089778/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/3089778/ipt_block_active_davidson
3089778,PRIMME_JDQMR_ETol,0,success,30,30,,59,3794,11.887793992995284,primme_timing_csv_solve_time_sec,4.8782254708333571e-13,29,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/3089778/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/3089778/primme_jdqmr_etol
3089711,IPT_block_active_selective_Davidson,3,failed,30,30,39,200,,9.4262908029486425,,4.9677231777310539e-05,29,12.543771019540182,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/3089711/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/3089711/ipt_block_active_davidson
3089711,PRIMME_JDQMR_ETol,0,success,30,30,,62,3814,9.9451309140422381,,4.6743047914573202e-13,5,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/3089711/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/3089711/primme_jdqmr_etol
