davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,1.6369713885300074e-08,1.3634163974915449e-08,2.435207031672461e-10,1.9586223643192919e-10,8.4079378756695643e-14,7.7301254023367282e-14,2.435207031672461e-10,1.9586223643192919e-10,1,none,46,47,1.6209256159527285e-14,1.7319479184152442e-14
32,29,1,1,1.6659703501367751e-08,1.0302292512025562e-08,1.9586223643192919e-10,1.4798561150280236e-10,7.7301254023367282e-14,7.6168613879013566e-14,1.9586223643192919e-10,1.4798561150280236e-10,1,none,47,48,1.7319479184152442e-14,1.3766765505351941e-14
33,29,1,1,7.9780425215457478e-09,5.3337163290870003e-09,1.4798561150280236e-10,9.2095854323934056e-11,7.6168613879013566e-14,7.1078112852871487e-14,1.4798561150280236e-10,9.2095854323934056e-11,1,none,48,49,1.3766765505351941e-14,1.354472090042691e-14
34,29,1,1,3.6324569380490342e-09,2.9299914221538255e-09,9.2095854323934056e-11,4.1912679361553721e-11,7.1078112852871487e-14,6.9316132118115806e-14,9.2095854323934056e-11,4.1912679361553721e-11,1,none,49,50,1.354472090042691e-14,1.354472090042691e-14
35,29,1,1,1.5788806928841191e-09,1.2891732373650254e-09,4.1912679361553721e-11,1.6947548761706062e-11,6.9316132118115806e-14,6.6722112680396346e-14,4.1912679361553721e-11,1.6947548761706062e-11,1,none,50,51,1.354472090042691e-14,1.4432899320127035e-14
36,29,1,1,9.4938824307345241e-10,6.5763636364635331e-10,1.6947548761706062e-11,8.6313931185139337e-12,6.6722112680396346e-14,6.6656290273608089e-14,1.6947548761706062e-11,8.6313931185139337e-12,1,none,51,52,1.4432899320127035e-14,1.4654943925052066e-14
37,29,1,1,5.7715898193692261e-10,3.6533562467547063e-10,8.6313931185139337e-12,5.4848975279797816e-12,6.6656290273608089e-14,6.7643842876060572e-14,8.6313931185139337e-12,5.4848975279797816e-12,1,none,52,53,1.4654943925052066e-14,1.532107773982716e-14
38,29,1,1,3.5238763063237679e-10,2.245326362213503e-10,5.4848975279797816e-12,3.8135520031180504e-12,6.7643842876060572e-14,6.8501704919536845e-14,5.4848975279797816e-12,3.8135520031180504e-12,1,none,53,54,1.532107773982716e-14,1.4876988529977098e-14
39,29,1,1,1.7170728734611047e-10,1.2488210137033528e-10,3.8135520031180504e-12,2.2102080565692174e-12,6.8501704919536845e-14,6.8014972477359089e-14,3.8135520031180504e-12,2.2102080565692174e-12,1,none,54,35,1.4876988529977098e-14,1.4654943925052066e-14
40,29,1,1,9.8255708596781404e-11,8.3594975288593327e-11,2.2102080565692174e-12,1.40996550803623e-12,6.8014972477359089e-14,6.5503936602470362e-14,2.2102080565692174e-12,1.40996550803623e-12,1,none,35,36,1.4654943925052066e-14,1.6209256159527285e-14
